case_number,lawsuit_url,documents_listed_count,documents_with_gcs_url
CV-055607-11/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=L62N6OHqWhm7inmeoWRwXg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-055614-11/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=BSnAb0ySikdDa1UqOrJDtg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-055615-11/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CGfFGvDcshJb9hx21TfOSg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-055616-11/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Bal9TTtIYteaBL8Uw8735g==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-055620-11/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=iHBH3cPZC7xmcdC3M0YfMw==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-056454-09/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=4lTuMMM4nqRvNjRiLYVcFg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-065481-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=_PLUS_/OF2I85g/J62KBnHK5b3Q==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-065482-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=kqApazLsFays6m4ZlHcLLg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-068303-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=OLUoGnMGrqyhHalki9ycWQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-071771-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=VLUgvlmO/u1gi2oKdddgSA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072196-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=8U4GYcssXYsH4ggqQY9AdA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072198-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=H41hhz44yoSoExr7gSJ66g==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072199-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QA/Ptk2_PLUS_kefMgpNyMnG4tg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072208-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=W6a1pJiabKwi6Vis5GSfRA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072209-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=VMPY_PLUS_3Zz3sAYuVlv1KsQMA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072211-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pDOVuLeQAv5g2eZGMmJA6Q==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072216-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=sHxARSVSn3WkdWmb3DXbHg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072217-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=TVfk7PU4EJoghPbhzzrN7Q==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072219-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CjO82fazsYKLNrxazrQyVA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072224-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=6212KLqF6bFxkM7SHWGldw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-072228-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=q/n_PLUS_N3mON1pKi_PLUS_uUqNo6nQ==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-077974-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=3sj80fW4lXrpqg292x6gzQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-079318-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ZGuL3TpeARJdZOzvU5zNMA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-079335-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ZPx9YOrMJUvcRVxwAdZcPg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-079344-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=JCiHg8FWxMhKU_PLUS_wc9o9LcQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-079353-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=0ZWorCNf8_PLUS_7OXZY7PBe4oA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-079359-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=cgRL/oZiGS31gJNkNfUeCA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=4,1,0
CV-082037-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=k/oaqJZ_PLUS_PM5Pmyn12rdUSg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082045-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=EQSoKVlQmcVxafjUcEahsg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082052-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=To2yPLHNiWpp4inWQ_PLUS_FTDQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082057-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=4gnLIndVwGG2OcOqC/CKuQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082058-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=T7gQ_PLUS_v9X_PLUS_xDXShck85FWWg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082068-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=xs2CDcxu1cJJxwlPTpqYcg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-082069-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ebRUchnZtKPCQeylVJVtyQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-085175-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=mXssph0WRqvnkVhapimgKQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
CV-085564-07/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=fGvAE9w6iYaALXJGtgNOmQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=5,1,0
